title_id,title_type,primary_title,original_title,year,runtime_minutes,genres,country
tt0049783,movie,The Forty-First,Sorok pervyy,1956,88,"Drama,Romance,War",Soviet Union
tt0049784,movie,Early Spring,Sôshun,1956,145,Drama,Japan
tt0049787,movie,The Spanish Gardener,The Spanish Gardener,1956,97,Drama,UK
tt0049793,movie,Star in the Dust,Star in the Dust,1956,80,"Drama,Romance,Western",USA
tt0049794,movie,The Flying Carpet,Starik Khottabych,1957,86,"Adventure,Family,Fantasy",Soviet Union
tt0049796,movie,Der Stern von Afrika,Der Stern von Afrika,1957,88,"Drama,War","West Germany, Spain"
tt0049798,movie,Den store gavtyv,Den store gavtyv,1956,94,"Comedy,Crime",Denmark
tt0049800,movie,Storm Center,Storm Center,1956,85,Drama,USA
tt0049801,movie,Storm Fear,Storm Fear,1955,88,"Crime,Drama,Film-Noir",USA
tt0049804,movie,A Strange Adventure,A Strange Adventure,1956,70,"Crime,Drama,Film-Noir",USA
tt0049805,movie,Strange Intruder,Strange Intruder,1956,82,"Crime,Drama,Film-Noir",USA
tt0049806,movie,Stranger at My Door,Stranger at My Door,1956,85,Western,USA
tt0049808,movie,Suicide Mission,Shetlandsgjengen,1954,93,"Drama,War","UK, Norway"
tt0049815,movie,The Swan,The Swan,1956,104,"Comedy,Drama,Romance",USA
tt0049828,movie,Ori okeanis saidumloeba,Ori okeanis saidumloeba,1957,145,"Adventure,Crime,Fantasy",Soviet Union
tt0049829,movie,Tea and Sympathy,Tea and Sympathy,1956,122,Drama,USA
tt0049830,movie,The Teahouse of the August Moon,The Teahouse of the August Moon,1956,123,"Comedy,Drama",USA
tt0049831,movie,Teenage Rebel,Teenage Rebel,1956,94,Drama,USA
tt0049833,movie,The Ten Commandments,The Ten Commandments,1956,220,"Adventure,Drama",USA
tt0049834,movie,Tension at Table Rock,Tension at Table Rock,1956,93,Western,USA
tt0049839,movie,The Roof,Il tetto,1956,91,Drama,Italy
tt0049841,movie,That Certain Feeling,That Certain Feeling,1956,103,Comedy,USA
tt0049843,movie,There's Always Tomorrow,There's Always Tomorrow,1955,84,"Drama,Romance",USA
tt0049844,movie,These Wilder Years,These Wilder Years,1956,91,Drama,USA
tt0049845,movie,The Third Key,The Long Arm,1956,96,"Crime,Drama,Mystery",UK
tt0049846,movie,Three Bad Sisters,Three Bad Sisters,1956,76,"Crime,Drama,Film-Noir",USA
tt0049847,movie,Three Men in a Boat,Three Men in a Boat,1956,84,"Comedy,Romance",UK
tt0049849,movie,Three Violent People,Three Violent People,1956,100,Western,USA
tt0049851,movie,Thunder Over Arizona,Thunder Over Arizona,1956,70,Western,USA
tt0049854,movie,Tiger in the Smoke,Tiger in the Smoke,1956,94,"Crime,Drama,Thriller",UK
tt0049856,movie,Time Without Pity,Time Without Pity,1957,85,"Crime,Drama,Mystery",UK
tt0049857,movie,Time Table,Time Table,1956,80,"Crime,Drama,Film-Noir",USA
tt0049865,movie,"Totò, Peppino e i fuorilegge","Totò, Peppino e i fuorilegge",1956,103,Comedy,Italy
tt0049866,movie,"Toto, Peppino, and the Hussy","Totò, Peppino e la... malafemmina",1956,106,"Comedy,Musical,Romance",Italy
tt0049867,movie,Totò lascia o raddoppia?,Totò lascia o raddoppia?,1956,94,Comedy,Italy
tt0049868,movie,A Touch of the Sun,A Touch of the Sun,1956,80,Comedy,UK
tt0049870,movie,Toward the Unknown,Toward the Unknown,1956,115,"Drama,History,Romance",USA
tt0049871,movie,A Town Like Alice,A Town Like Alice,1956,117,"Drama,Romance,War",UK
tt0049872,movie,Town on Trial,Town on Trial,1957,96,"Crime,Mystery,Thriller",UK
tt0049873,movie,The Toy Tiger,The Toy Tiger,1956,88,Comedy,USA
tt0049875,movie,Trapeze,Trapeze,1956,105,"Drama,Romance",USA
tt0049876,movie,The Trapp Family,Die Trapp-Familie,1956,106,"Comedy,Drama,Family",West Germany
tt0049877,movie,The Crossing of Paris,La traversée de Paris,1956,80,Drama,"France, Italy"
tt0049881,movie,Tribute to a Bad Man,Tribute to a Bad Man,1956,95,"Drama,Romance,Western",USA
